Locality,2012 Final Population,General Property,Handicapped Education,Tax Increments,Occupational,Mobile Home Lottery Credit & Parking Fees,Private Forest Crop & Managed Forest Land,Local Motor Vehicle,Public Accomodations,County Sales Tax,State Sales Tax:  Retailer's Discount,Premier Resort Area,Real Estate Transfer Fee,Race Track Admissions,Regulated Municipal Utilities,Other Tax Exempt Entities,Penalties & Interest,Other,Special Assessments,Total Federal Aid,Total State and Local Aid,Total Public Charges,Total Misc.
Adams County,20797,16911595,0,0,0,0,91561,0,0,1324451,0,0,55923,0,0,0,645023,125802,0,80986,7765750,5820631,6821624
Ashland County,16063,6497191,0,0,612,0,132085,0,0,1120565,0,0,28954,0,0,0,403103,116,0,471999,5732169,1992367,570420
Barron County,45928,17571099,0,0,0,0,10799,0,0,3601312,120,0,89606,0,0,0,539901,33019,0,513878,11216913,3723624,1044932
Bayfield County,15052,6929826,0,0,0,0,52634,0,0,969462,0,0,59950,0,0,0,348025,0,0,372901,5433296,4798852,883682
Brown County,250281,75611888,2850401,0,5883,0,0,0,0,0,1212,0,459628,0,0,0,2350539,4587845,0,1644462,92304981,29105691,23308153
Buffalo County,13649,5877865,0,0,0,0,60517,0,0,620686,40,0,31627,0,0,0,115149,0,0,0,4567244,865296,728903
Burnett County,15457,8559652,0,0,0,0,8484,0,0,856626,120,0,47215,0,0,0,344635,0,0,14352,5163558,3557943,321148
Calumet County,49168,15888674,808734,0,0,0,3486,0,0,0,121,0,90823,0,0,0,391085,0,0,299007,10965625,5489526,291522
Chippewa County,62777,15650600,0,0,0,0,8676,0,0,4428504,130,0,110921,0,0,0,405630,35084,0,0,15553752,5849144,1145998
Clark County,34706,9553735,0,0,0,0,23081,0,0,1545201,223,0,59387,0,0,0,312252,0,0,0,8691865,8437010,912056
Columbia County,56835,19731888,0,0,0,0,6816,0,0,3755221,0,0,106667,0,0,0,789823,0,0,6285,11260988,5552767,1828224
Crawford County,16638,5089756,0,0,0,0,31221,0,0,1270850,0,0,32031,0,0,0,282725,0,0,0,4648569,1368109,5570184
Dane County,491555,133298454,0,122793,0,0,0,0,0,45062964,3336,0,1638070,0,0,0,4932959,0,0,10569426,178741001,36522005,100457922
Dodge County,88692,32167308,0,0,0,0,738,0,0,5182747,137,0,129790,0,0,0,937623,93038,0,39869,16991860,39833452,3950191
Door County,27867,24789531,0,0,0,0,4576,0,0,3081689,120,0,334559,0,0,0,649187,0,0,0,12153010,5897408,5942098
Douglas County,44191,11555156,0,0,191491,0,110112,0,0,3376189,0,0,77312,0,0,0,693531,0,0,623189,11184299,5881625,12098124
Dunn County,43853,14668547,0,0,0,0,15528,0,0,2407136,0,0,61701,0,0,0,464773,0,0,0,9231326,5773003,1322350
Eau Claire County,99260,22115049,0,0,0,0,1966,0,0,8768782,102,0,0,0,0,0,846444,0,0,230742,25227837,9119180,1203749
Florence County,4358,3288439,0,0,0,0,31319,0,0,206636,0,0,16731,0,0,0,101317,169265,0,4173,2554502,1383846,550787
Fond du Lac County,101955,37288715,0,0,0,0,880,0,0,6688615,154,0,148443,0,0,0,862630,993,0,109652,25701728,15707059,15924336
Forest County,9197,4464215,0,0,0,0,48673,0,0,420480,109,0,25142,0,0,0,188166,4466,0,47907,4013383,1356378,3066568
Grant County,51436,5970480,0,0,0,0,8877,0,0,2871862,133,0,130962,0,0,0,274096,3444,0,246580,10735619,5090836,909366
Green County,36863,13777624,0,0,0,0,1436,0,0,2209359,120,0,73102,0,0,0,440705,2443,0,0,6625053,3843370,1227133
Green Lake County,19106,11445051,0,0,0,0,598,0,0,1184201,110,0,40124,0,0,0,393684,0,0,172316,3718991,2200505,522142
Iowa County,23726,7817822,0,0,0,0,54701,0,0,1472882,175,0,53444,0,0,0,454562,0,0,59842,3458627,1041693,484784
Iron County,5843,3589763,0,0,0,0,17270,0,0,402823,120,0,12654,0,0,0,297679,147879,0,30,2075435,2283284,366188
Jackson County,20523,7117592,0,0,0,0,35560,0,0,1189336,155,0,41593,0,0,0,295710,35676,0,0,6379818,2997573,3335294
Jefferson County,83857,20814267,0,0,0,0,55791,0,0,5028614,52,0,129730,0,0,0,1152202,15215,0,0,12449141,11176747,1146518
Juneau County,26878,8990937,0,0,0,0,62791,0,0,1368963,124,0,56192,0,0,0,548681,323645,0,5808,6840846,4429952,10356389
Kenosha County,166823,56279602,0,0,0,0,0,0,0,10687072,67,0,295482,0,0,0,2299119,12993,0,7651606,48959593,15061343,22389311
Kewaunee County,20637,10390561,0,0,0,0,1970,0,0,0,0,0,30214,0,0,0,174810,2312,0,4000,8264097,3344602,5571162
La Crosse County,115577,27050318,0,0,0,0,5780,0,0,10292560,0,0,212349,0,0,0,895698,0,0,331616,29973632,9209173,6176640
Lafayette County,16897,4819475,0,0,0,0,524,0,0,765785,110,0,64997,0,0,0,171790,10155,0,0,4348615,1684053,624143
Langlade County,19880,9098523,0,0,0,0,31418,0,0,1385331,0,0,27419,0,0,0,312128,0,0,60,5032531,3606202,1249322
Lincoln County,28856,13046472,0,0,0,0,94727,0,0,1594185,0,0,38288,0,0,0,384727,91815,0,223570,5133469,3989031,2220466
Manitowoc County,81437,28605122,0,0,100,0,4131,0,0,128,0,0,124426,0,0,0,496296,11860,0,0,18742851,8004843,4835751
Marathon County,134524,39353093,0,0,0,0,84974,0,0,10311949,286,0,206807,0,0,0,1995492,100,0,1256430,22142262,11424337,7382089
Marinette County,41718,14701234,0,0,0,0,40956,0,0,2883540,143,0,69958,0,0,0,593181,284935,0,270577,16218466,10590982,17785188
Marquette County,15394,10614618,0,0,0,0,7307,0,0,736616,0,0,26701,0,0,0,266241,0,0,3240,4039424,1832361,1013442
Milwaukee County,948322,275370836,0,0,0,0,0,0,0,64740039,0,0,1351726,0,0,0,3807712,0,0,64732526,174068630,481841654,262265756
Monroe County,45056,11478524,0,0,0,0,28307,0,0,3020019,0,0,78824,0,0,0,320675,0,0,145067,7521050,4330751,817936
Oconto County,37829,17790125,0,0,0,0,17688,0,0,1480658,127,0,61264,0,0,0,738963,0,0,172883,13423886,4717689,2828590
Oneida County,36057,15021085,0,0,0,0,76333,0,0,3596756,110,0,127834,0,0,0,649696,0,0,0,9962151,4644495,2373165
Outagamie County,178150,59074196,0,0,0,0,8992,0,0,0,736,0,350712,0,0,0,1688873,195714,0,257779,29407798,12565104,24944289
Ozaukee County,86635,19154359,0,0,0,0,355,0,0,6543023,0,0,274480,0,0,0,652161,7201,0,4608328,12045772,5357681,3474198
Pepin County,7465,3726765,0,0,0,0,7158,0,0,423014,0,0,14445,0,0,0,71459,0,0,3022,3112717,796808,509291
Pierce County,41108,15882792,0,0,0,0,9065,0,0,1706334,136,0,77001,0,0,0,391558,0,0,359878,6974119,3964903,714017
Polk County,44241,21546877,0,0,0,0,113324,0,0,2461037,122,0,83141,0,0,0,722838,94,0,0,8786830,5988587,2450545
Portage County,70806,24216505,0,0,39,0,40055,0,0,5110268,142,0,100443,0,0,0,1455606,0,0,92506,14715550,6889046,1951297
Price County,14055,5887656,0,0,0,0,87026,0,0,774526,0,0,58710,0,0,0,281313,1694,0,27966,4116655,2488683,559977
Racine County,195386,50148076,669010,0,0,0,0,0,0,0,288,0,254764,0,0,0,3076045,92533,0,1965131,42232865,13332721,22827622
Richland County,18043,4393005,0,0,0,0,17653,0,0,952400,0,0,29824,0,0,0,158136,0,0,41432,8122430,2457684,1071961
Rock County,160129,49470733,0,0,0,0,8213,0,0,8909943,130,0,242108,0,0,0,2171567,0,0,32928333,31809392,18357933,8139589
Rusk County,14756,5802617,90832,0,0,0,0,0,0,790446,109,0,22954,0,0,0,198561,31083,0,53288,6155893,3900888,1495350
St. Croix County,84856,27717816,0,0,0,0,4308,0,0,5583529,125,0,191583,0,0,0,967133,0,0,41729,11281552,7284240,522467
Sauk County,61994,22425202,0,0,0,0,13436,0,0,7323695,155,0,160964,0,0,0,1042036,2468,0,703082,14843616,6226398,4652639
Sawyer County,16659,9840064,0,0,0,0,46166,0,0,1473191,0,0,64078,0,0,0,452274,0,0,2320,7835734,4929887,2326663
Shawano County,41919,14856456,0,0,0,0,48971,0,0,2086283,124,0,67274,0,0,0,437625,17509,0,4275,17975323,6821428,2521291
Sheboygan County,115549,39861882,0,0,0,0,3880,0,0,0,126,0,184948,0,0,0,1062512,159779,0,1929979,24076829,9839483,1719559
Taylor County,20697,7881069,0,0,0,0,5819,0,0,1120375,120,0,38674,0,0,0,174658,0,0,0,8550720,2604625,2001211
Trempealeau County,28986,8634563,0,0,0,0,35919,0,0,1631214,0,0,0,0,0,0,187081,0,0,121355,6608374,2014742,127482
Vernon County,29865,6811230,0,0,0,0,44156,0,0,1406668,0,0,44395,0,0,0,276825,20,0,717196,7571708,2080994,500855
Vilas County,21485,11877511,0,0,0,0,39053,0,0,1899315,0,0,117223,0,0,0,423240,0,0,0,5219463,1926156,3394066
Walworth County,102530,45144279,8398149,0,0,0,13083,0,0,7509423,120,0,294084,0,0,0,2366270,1170,0,10457960,11578087,9243810,2441508
Washburn County,15907,9001490,0,0,0,0,9804,0,0,1020061,0,0,51812,0,0,0,284145,0,0,27551,4164081,3928051,1340627
Washington County,132482,38322768,0,0,0,0,1328,0,0,9485710,239,0,277356,0,0,0,1185634,50485,0,839703,18839369,11250118,4196043
Waukesha County,390914,100780327,0,0,0,0,0,0,0,0,1321,0,1213471,0,0,0,3540821,230996,0,5691397,41244043,41310396,47219189
Waupaca County,52381,22237965,0,163,0,0,43870,0,0,2934922,93,0,94642,0,0,0,1083453,0,0,3976,14424047,9201923,1396957
Waushara County,24506,15360085,0,0,0,0,14004,0,0,1166752,0,0,49918,0,0,0,454271,94446,0,0,6814638,5082973,1024750
Winnebago County,167702,67927847,0,0,0,0,409,0,0,0,164,0,255800,0,0,0,1434203,0,0,16160,34494216,9674222,50712185
Wood County,74587,21801912,0,0,0,0,7772,0,0,5013638,194,0,100553,0,0,0,505149,13221,0,789905,16312864,13263098,11444598
Menominee County,4214,2327474,0,0,0,0,0,0,0,0,0,0,6101,0,0,0,36825,0,0,122145,6792951,480546,86943
