Community Board Complaints  6/1/2015 to 6/30/2015,,,,,,,,,,,
Complaint Number,Status,Date Entered,Address,Bin,Community Board,Special District,Complaint Category,Unit,Disposition Date,Disposition Code,Inspection Date
1397230,ACTIVE,6/1/2015,393 WEST END AVENUE,1031127,107,,9,RWALL,6/1/2015,ED,6/1/2015
1397231,CLOSED,6/1/2015,25 GREAT JONES STREET,1080067,102,,91,BEST,6/2/2015,I2,6/2/2015
1397232,CLOSED,6/1/2015,WEST HOUSTON STREET,9999991,102,,85,MAN.,6/1/2015,K1,6/1/2015
1397233,ACTIVE,6/1/2015,255 WEST 43 STREET,1024703,105,,63,ELEVR,,,
1397234,ACTIVE,6/1/2015,440 WEST 34 STREET,1012854,104,,63,ELEVR,,,
1397235,ACTIVE,6/1/2015,17 EAST 31 STREET,1016987,105,,73,MAN.,,,
1397236,ACTIVE,6/1/2015,219 WEST 15 STREET,1013773,104,,85,MAN.,,,
1397237,CLOSED,6/1/2015,1330 5 AVENUE,1084511,110,,63,ELEVR,6/12/2015,H1,6/11/2015
1397238,CLOSED,6/1/2015,83 BOWERY,1003907,103,,1Z,EXEC,6/1/2015,A8,5/19/2015
1397239,ACTIVE,6/1/2015,131 WEST 85 STREET,1032151,107,,2L,FISP,,,
1397240,ACTIVE,6/1/2015,9 BANK STREET,1011019,102,,4A,SPOPS,,,
1397241,CLOSED,6/1/2015,83 BOWERY,1003907,103,,1Z,EXEC,6/1/2015,A8,5/19/2015
1397242,CLOSED,6/1/2015,296 5 AVENUE,1015790,105,,3,EXCAV,6/3/2015,I2,6/2/2015
1397243,CLOSED,6/1/2015,561 WEST 144 STREET,1061897,109,,86,MAN.,6/1/2015,I1,6/1/2015
1397244,ACTIVE,6/1/2015,296 5 AVENUE,1015790,105,,83,MAN.,,,
1397245,CLOSED,6/1/2015,73 MONROE STREET,1003268,103,,30,ERT,6/1/2015,Y1,6/1/2015
1397246,CLOSED,6/1/2015,442 EAST 13 STREET,1005993,103,,86,MAN.,6/1/2015,I1,6/1/2015
1397247,CLOSED,6/1/2015,502 WEST 139 STREET,1079854,109,,59,ELCTR,6/4/2015,A8,6/2/2015
1397249,ACTIVE,6/1/2015,240 WEST 72 STREET,1030431,107,,5,MAN.,,,
1397250,CLOSED,6/1/2015,160 WEST 71 STREET,1029778,107,,5,MAN.,7/1/2015,I2,6/30/2015
1397251,ACTIVE,6/1/2015,160 WEST 71 STREET,1029778,107,,2C,MAN.,,,
1397252,CLOSED,6/1/2015,365 WEST 46 STREET,1025080,104,,86,MAN.,6/1/2015,I1,6/1/2015
1397253,CLOSED,6/1/2015,4101 BROADWAY,1063500,112,,5,MAN.,6/1/2015,I1,6/1/2015
1397254,CLOSED,6/1/2015,83 BOWERY,1003907,103,,1Z,EXEC,6/1/2015,A8,5/19/2015
1397255,ACTIVE,6/1/2015,450 AUDUBON AVENUE,1063813,112,,5,MAN.,,,
1397256,CLOSED,6/1/2015,513 EAST 13 STREET,1005262,103,,37,ERT,6/1/2015,I2,6/1/2015
1397257,CLOSED,6/1/2015,513 EAST 13 STREET,1005262,103,,37,ERT,6/1/2015,H1,6/1/2015
1397258,CLOSED,6/1/2015,755 WASHINGTON STREET,1012051,102,,30,ERT,6/1/2015,A1,5/31/2015
1397259,CLOSED,6/1/2015,260 MADISON AVENUE,1017230,105,,30,ERT,6/1/2015,Y2,6/1/2015
1397260,CLOSED,6/1/2015,168 EAST 104 STREET,1051935,111,,5,MAN.,6/8/2015,L1,6/7/2015
1397261,CLOSED,6/1/2015,168 EAST 104 STREET,1051935,111,,5,MAN.,6/8/2015,L1,6/7/2015
1397262,ACTIVE,6/1/2015,50 WEST 112 STREET,1051411,110,,63,ELEVR,,,
1397264,CLOSED,6/1/2015,361 EAST 50 STREET,1039612,106,,5,MAN.,6/8/2015,L1,6/7/2015
1397265,CLOSED,6/1/2015,498 WEST END AVENUE,1032795,107,,37,ERT,6/2/2015,I2,6/2/2015
1397266,CLOSED,6/1/2015,166 EAST 104 STREET,1051936,111,,5,MAN.,6/8/2015,L1,6/7/2015
1397268,CLOSED,6/1/2015,166 EAST 104 STREET,1051936,111,,5,MAN.,6/8/2015,L1,6/7/2015
1397269,ACTIVE,6/1/2015,1578 1 AVENUE,1050401,108,,73,MAN.,,,
1397270,CLOSED,6/1/2015,514 WEST 24 STREET,1080304,104,,3,ERT,6/2/2015,C2,6/2/2015
1397271,CLOSED,6/1/2015,53 WEST 72 STREET,1028631,107,,23,SCFLD,6/3/2015,H1,6/3/2015
1397272,CLOSED,6/1/2015,83 BOWERY,1003907,103,,1Z,EXEC,6/1/2015,L1,5/19/2015
1397273,ACTIVE,6/1/2015,50 WEST 112 STREET,1051411,110,,63,ELEVR,,,
1397274,ACTIVE,6/1/2015,474 WEST 148 STREET,1061468,109,,5,MAN.,,,
1397275,ACTIVE,6/1/2015,545 MADISON AVENUE,1035758,105,,73,MAN.,,,
1397276,CLOSED,6/1/2015,239 WEST 52 STREET,1080867,105,,4K,BEST,6/17/2015,L2,6/17/2015
1397277,ACTIVE,6/1/2015,600 WEST 161 STREET,1063351,112,,5,MAN.,,,
1397278,CLOSED,6/1/2015,990 6 AVENUE,1015919,105,,59,ELCTR,6/8/2015,K1,6/5/2015
1397279,CLOSED,6/1/2015,650 WEST 172 STREET,1063490,112,,65,PLUMB,6/3/2015,I2,6/3/2015
1397280,ACTIVE,6/1/2015,650 WEST 172 STREET,1063490,112,,66,PLUMB,6/12/2015,C1,6/2/2015
1397281,CLOSED,6/1/2015,444 EAST 13 STREET,1005994,103,,86,MAN.,6/4/2015,C2,6/3/2015
1397283,CLOSED,6/1/2015,415 WEST 147 STREET,1061446,109,,91,ERT,6/2/2015,C2,6/2/2015
1397284,ACTIVE,6/1/2015,972 6 AVENUE,1015918,105,,94,PLUMB,,,
1397285,CLOSED,6/1/2015,450 AUDUBON AVENUE,1063813,112,,66,PLUMB,6/24/2015,I2,6/22/2015
1397286,CLOSED,6/1/2015,415 WEST 147 STREET,1061446,109,,4,ERT,6/1/2015,I2,6/1/2015
1397287,ACTIVE,6/1/2015,700 WEST 176 STREET,1063513,112,,63,ELEVR,,,
1397288,CLOSED,6/1/2015,242 WEST 53 STREET,1080868,105,,4K,BEST,6/17/2015,L2,6/17/2015
1397289,ACTIVE,6/1/2015,110 EAST 84 STREET,1047664,108,,5,MAN.,,,
1397290,CLOSED,6/1/2015,138 EAST 50 STREET,1036448,106,,4L,BEST,6/24/2015,L2,6/24/2015
1397291,ACTIVE,6/1/2015,310 WEST 127 STREET,1059350,110,,29,MAN.,,,
1397292,CLOSED,6/1/2015,680 WEST END AVENUE,1033640,107,,63,ELEVR,6/24/2015,I2,6/23/2015
1397293,ACTIVE,6/1/2015,311 EAST 71 STREET,1044859,108,,5,MAN.,,,
1397294,CLOSED,6/1/2015,1 7 AVENUE,1082214,102,,4L,BEST,6/3/2015,L2,6/3/2015
1397295,CLOSED,6/1/2015,312 WEST 90 STREET,1034058,107,,73,MAN.,6/8/2015,A8,6/6/2015
1397297,ACTIVE,6/1/2015,31 WEST 124 STREET,1053456,110,,9,MAN.,,,
1397299,CLOSED,6/1/2015,98 AVENUE A,1005081,103,,5,EXCAV,6/3/2015,I2,6/3/2015
1397300,CLOSED,6/1/2015,319 WEST 94 STREET,1034178,107,,37,ERT,6/3/2015,I2,6/3/2015
1397301,ACTIVE,6/1/2015,321 WEST 94 STREET,1034177,107,,15,MAN.,,,
1397302,ACTIVE,6/1/2015,200 CENTRAL PARK SOUTH,1024918,105,,73,MAN.,,,
1397303,CLOSED,6/1/2015,200 CENTRAL PARK SOUTH,1024918,105,,59,ELCTR,6/8/2015,K1,6/5/2015
1397304,ACTIVE,6/1/2015,319 WEST 94 STREET,1034178,107,,15,MAN.,,,
1397305,CLOSED,6/1/2015,535 WEST 23 STREET,1012347,104,,37,ERT,6/2/2015,I2,6/2/2015
1397306,CLOSED,6/1/2015,305 EAST 86 STREET,1050025,108,,4,ERT,6/2/2015,I2,6/2/2015
1397307,ACTIVE,6/1/2015,116 WEST 31 STREET,1087523,105,,80,ELEVR,,,
1397308,ACTIVE,6/1/2015,52 WEST 111 STREET,1051405,110,,63,ELEVR,,,
1397310,CLOSED,6/1/2015,140 WEST 46 STREET,1022648,105,,4G,MAN.,6/1/2015,L1,5/29/2015
1397311,CLOSED,6/1/2015,140 WEST 46 STREET,1022648,105,,4A,SPOPS,6/1/2015,H1,5/29/2015
1397312,CLOSED,6/1/2015,144 WEST 46 STREET,1022649,105,,4G,MAN.,6/1/2015,L1,5/30/2015
1397313,CLOSED,6/1/2015,144 WEST 46 STREET,1022649,105,,4A,SPOPS,6/1/2015,L1,5/30/2015
1397314,CLOSED,6/1/2015,174 WEST 72 STREET,1029903,107,,4A,SPOPS,6/9/2015,H1,6/9/2015
1397315,CLOSED,6/1/2015,90 PARK AVENUE,1017595,106,,4,ERT,6/1/2015,I1,6/1/2015
1397316,ACTIVE,6/1/2015,308 WEST 94 STREET,1034138,107,,59,ELCTR,6/29/2015,C1,6/29/2015
1397317,ACTIVE,6/1/2015,803 WEST 180 STREET,1064311,112,,5,MAN.,,,
1397318,ACTIVE,6/1/2015,246 WEST 80 STREET,1032645,107,,63,ELEVR,,,
1397320,ACTIVE,6/1/2015,109 LUDLOW STREET,1005319,103,,31,MAN.,,,
1397321,ACTIVE,6/1/2015,168 DELANCEY STREET,1004214,103,,31,MAN.,,,
1397322,CLOSED,6/2/2015,400 WEST 14 STREET,1012237,102,,74,ERT,6/8/2015,G5,6/8/2015
1397323,CLOSED,6/2/2015,233 BROADWAY,1087167,101,,4,ERT,6/2/2015,H1,6/2/2015
1397324,CLOSED,6/2/2015,90 LEXINGTON AVENUE,1018153,105,,4,ERT,6/6/2015,I2,6/6/2015
1397325,CLOSED,6/2/2015,233 BROADWAY,1087167,101,,4,ERT,6/2/2015,I1,6/2/2015
1397327,CLOSED,6/2/2015,113 MULBERRY STREET,1002656,102,,59,ELCTR,6/8/2015,A8,6/5/2015
1397328,CLOSED,6/2/2015,514 WEST 211 STREET,1064864,112,,66,PLUMB,6/8/2015,A3,6/5/2015
1397330,CLOSED,6/2/2015,328 EAST 62 STREET,1044231,108,,23,SCFLD,6/15/2015,A8,6/13/2015
1397331,CLOSED,6/2/2015,81 WEST 127 STREET,1053610,110,,58,BOILR,6/3/2015,A8,6/3/2015
1397332,ACTIVE,6/2/2015,169 MORNINGSIDE AVENUE,1059366,109,,5,MAN.,,,
1397333,CLOSED,6/2/2015,53 WEST 72 STREET,1028631,107,,23,SCFLD,6/3/2015,H1,6/3/2015
1397334,ACTIVE,6/2/2015,EAST   14 STREET,9999991,103,,29,MAN.,,,
1397335,ACTIVE,6/2/2015,461 PARK AVENUE SOUTH,1018457,105,,2G,SPOPS,,,
1397336,ACTIVE,6/2/2015,240 AUDUBON AVENUE,1063239,112,,5,MAN.,,,
1397337,ACTIVE,6/2/2015,180 EDGECOMB AVENUE,1061083,109,,63,ELEVR,,,
1397338,CLOSED,6/2/2015,322 EAST 18 STREET,1020451,106,,30,ERT,6/3/2015,I2,6/3/2015
1397339,CLOSED,6/2/2015,10 DOWNING STREET,1008350,102,,5,MAN.,6/2/2015,I1,6/2/2015
1397340,ACTIVE,6/2/2015,236 WEST 73 STREET,1030520,107,,94,PLUMB,,,
1397341,CLOSED,6/2/2015,357 WEST 17 STREET,1013069,104,,4C,EXCAV,6/12/2015,L2,6/11/2015
1397342,ACTIVE,6/2/2015,370 MANHATTAN AVENUE,1055850,110,,5,MAN.,,,
1397343,CLOSED,6/2/2015,345 EAST 50 STREET,1085115,106,,30,ERT,6/3/2015,C2,6/3/2015
1397345,CLOSED,6/2/2015,356 EAST 89 STREET,1050082,108,,4,ERT,6/2/2015,I1,6/2/2015
1397346,ACTIVE,6/2/2015,5 EAST 47 STREET,1035411,105,,53,MAN.,,,
1397347,CLOSED,6/2/2015,73 MONROE STREET,1003268,103,,1Z,EXEC,6/4/2015,I2,6/2/2015
1397348,CLOSED,6/2/2015,261 MADISON AVENUE,1017231,106,,1Z,EXEC,6/3/2015,I2,6/3/2015
1397349,CLOSED,6/2/2015,2166 8 AVENUE,1058384,110,,10,ERT,6/2/2015,A8,6/2/2015
1397351,ACTIVE,6/2/2015,52 WEST 111 STREET,1051405,110,,63,ELEVR,,,
