from https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01_tables.pdf#i01,,,,,,,,,
Year,Total,1,2,3,4,5,6 and 7,8 and over,Unknown
1980,25,22.7,25.4,27.3,29,30.6,32.7,36,23.9
1985,25.8,23.7,26.3,27.9,29.3,30.6,32.5,35.7,26.1
1990,26.4,24.2,26.9,28.3,29.4,30.6,32.1,35.1,27.4
1995,26.9,24.5,27.5,29.1,30.1,31.2,32.6,35.4,27.1
2000,27.2,24.9,27.7,29.2,30.3,31.4,32.9,35.8,27.4
2001,27.3,25,27.8,29.2,30.3,31.4,32.9,35.9,27
2002,27.3,25.1,27.9,29.2,30.3,31.4,32.9,35.9,27.7
2003,27.4,25.2,28,29.3,30.4,31.4,33,35.8,27.9
2004,27.5,25.2,28,29.4,30.4,31.4,32.9,35.9,27.6
2005,27.4,25.2,28,29.4,30.4,31.4,32.9,35.9,28
2006,27.4,25,27.9,29.3,30.4,31.4,33,35.8,28
2007,27.4,25,27.9,29.3,30.4,31.5,32.9,35.7,27.9
2008,27.4,25.1,27.9,29.4,30.5,31.5,32.9,35.7,27.7
2009,27.5,25.2,28,29.5,30.6,31.6,32.9,35.7,27.6
2010,27.7,25.4,28.2,29.6,30.7,31.7,33,35.7,27.7
2011,27.9,25.6,28.3,29.7,30.8,31.8,33.1,35.5,28.2
2012,28,25.8,28.4,29.8,30.9,31.9,33.2,35.7,27.9
2013,28.2,26,28.6,29.9,31,32,33.3,35.7,28.3
