International_data,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=000gfs0000000000000000000000000000vg&c=4100000002000060000000000000g000200000000000000001&ct=2&tl_id=5-A&vs=INTL.53-1-AFRC-TBPD.A&cy=2014&vo=0&v=H&end=2017,,,,,,,,,,,,,,,,,,,
Sun Oct 28 2018 20:45:30 GMT-0700 (Pacific Daylight Time),,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,Petroleum (annual),,,,,,,,,,,,,,,,,,
,Production,,,,,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,,,,,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,,,,,,,,,,,,,,,,,,
,Africa,7989.6993961703,8028.0653347995,8135.5060402683,8605.6912554541,9321.4191305656,10106.327309589,10229.545739726,10555.43789863,10630.455166667,10453.151539726,10736.390931507,9248.8352986301,9944.9491885246,9290.3971972603,8767.9904630137,8650.6839753425,8103.7698879781,8482.6130684932
,Asia & Oceania,8320.1367593941,8290.9162150915,8324.0165203567,8267.1688973127,8385.0805631777,8537.6681534247,8635.3436136986,8650.8217780822,8824.8048606557,8903.2862109589,9357.1881917808,9337.9881315068,9498.4350983607,9510.7888438356,9641.6099643836,9805.9907342466,9532.4679125683,9290.2647534247
,Central & South America,7313.0314330795,7217.8522719293,6928.4568779814,6684.5357159992,7025.7741901328,7242.6806465753,7295.7003205479,7270.5681041096,7510.4904180328,7726.0431178082,7889.980830137,8059.1969972603,8004.6455546448,8122.738709589,8410.7038657534,8501.4117260274,8187.3549945355,7953.2051917808
,Eurasia,8179.9493153453,8768.5364442879,9423.2979930919,10417.954540694,11340.345564431,11766.194723288,12214.09470137,12687.580942466,12638.881833333,13024.583849315,13376.985978082,13503.426964384,13620.623830601,13795.794479452,13912.284030137,14120.164610959,14246.353262295,14346.849164384
,Europe,7171.0880170278,7231.358287656,7176.0795655255,6968.6997673375,6597.8833847001,6166.0618164384,5777.4802273973,5445.4330630137,5225.1357568306,4983.1347479452,4886.575739726,4508.9380739726,4209.4961803279,4100.2274054795,4139.4559643836,4307.6582465753,4342.8264617486,4283.3640410959
,Middle East,23484.220378692,22793.077239085,21570.832808853,22992.183615503,25070.013495911,26091.785950685,25774.425493151,25286.088,26738.795204918,25323.034019178,26213.751994521,27653.423816438,27852.41486612,27458.142912329,27931.604175342,29310.254273973,31080.111076503,30833.902643836
,North America,15271.005716913,15343.40023337,15545.481806849,15687.155602055,15709.558711011,15207.488860274,15315.976339726,15415.133084932,15098.621759563,15448.971057534,16111.720079452,16694.870073973,17920.11284153,19356.395145205,21342.008476712,22274.973794521,21912.456606557,22865.970405479
,World,77729.131016622,77673.206026219,77103.671612926,79623.389394355,83450.075039929,85118.207460274,85242.566435616,85311.062871233,86667.185,85862.204542466,88572.593745205,89006.679356164,91050.677560109,91634.484693151,94145.656939726,96971.137361644,97405.340202186,98056.169268493
