state,county,fips,nsn,item_name,quantity,ui,acquisition_cost,total_cost,ship_date,federal_supply_category,federal_supply_category_name,federal_supply_class,federal_supply_class_name
NE,ADAMS,31001.0,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1.0,Each,138.0,138.0,2008-07-11,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,ADAMS,31001.0,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1.0,Each,138.0,138.0,2008-07-11,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,ADAMS,31001.0,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1.0,Each,138.0,138.0,2008-07-11,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,ADAMS,31001.0,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1.0,Each,138.0,138.0,2008-07-11,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,ADAMS,31001.0,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1.0,Each,138.0,138.0,2008-07-11,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,ADAMS,31001.0,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1.0,Each,138.0,138.0,2008-07-11,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BUFFALO,31019.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-09-24,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BUFFALO,31019.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-09-24,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BUFFALO,31019.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-09-24,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BUFFALO,31019.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-09-24,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BUFFALO,31019.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-09-24,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BUFFALO,31019.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-09-24,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BUFFALO,31019.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-09-24,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BUFFALO,31019.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-09-24,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2013-06-20,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2013-06-20,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1.0,Each,138.0,138.0,2008-10-06,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1.0,Each,120.0,120.0,2006-09-20,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1.0,Each,120.0,120.0,2012-05-23,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1.0,Each,120.0,120.0,2012-05-23,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1.0,Each,120.0,120.0,2012-05-23,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1.0,Each,120.0,120.0,2012-05-23,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1.0,Each,120.0,120.0,2012-05-23,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,1005-00-856-6885,"RIFLE,5.56 MILLIMETER",1.0,Each,120.0,120.0,2012-05-23,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,BURT,31021.0,2320-00-965-1039,"TRUCK,CARGO",1.0,EA,3123.0,3123.0,2012-06-22,23.0,"MOTOR VEHICLES, CYCLES, TRAILERS",2320.0,"Trucks and Truck Tractors, Wheeled"
NE,BUTLER,31023.0,1005-00-589-1271,"RIFLE,7.62 MILLIMETER",1.0,Each,138.0,138.0,2006-03-07,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,CASS,31025.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-05-21,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,CASS,31025.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-05-21,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,CASS,31025.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-05-21,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,CASS,31025.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-05-21,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,CASS,31025.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-05-21,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,CASS,31025.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2008-05-21,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
NE,CASS,31025.0,1005-00-073-9421,"RIFLE,5.56 MILLIMETER",1.0,Each,499.0,499.0,2012-04-16,10.0,WEAPONS,1005.0,"Guns, through 30 mm"
